,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
75,,,"R. Araguaia, 995 - Vl Nova, Londrina - PR, 86025-720","PR2H+Q4 Jardim Tabapua, Londrina - PR",(43) 3325-3750,Reivindicar esta empresa,Adicionar horário,(15),Depósito Araguaia,"4,7",Adicionar website,
76,,,"Av. Europa, 100 - Parque Res. Joao Piza, Londrina - PR, 86041-220","MV24+74 Parque Res. Joao Piza, Londrina - PR",(43) 3341-2010,Reivindicar esta empresa,Adicionar horário,(7),Depósito Igapó,"4,4",Adicionar website,
77,,,"Av. Dez de Dezembro, 6331 - Parque Res. Joao Piza, Londrina - PR, 86046-140","MV23+5Q Parque Res. Joao Piza, Londrina - PR",(43) 3341-1909,Reivindicar esta empresa,Adicionar website,(3),Casa Shop Porcelanato,"4,7",,
78,,,"Rodovia Carlos João Strass, 4170 - Heimtal, Londrina - PR, 86084-460","PRVV+22 Heimtal, Londrina - PR",(43) 3337-5940,Adicionar website,,(2),Deposito Saul Elkind,"4,0",,
79,,,"R. Belém, 66 - Vila Casoni, Londrina - PR, 86026-000","MRWX+76 Vila Casoni, Londrina - PR",(43) 3324-8584,Adicionar website,,(10),Ponto Util Comercio de Materiais Hidraulicos,"4,9",,
80,,,"Av. Lúcia Helena Gonçalves Viana, 423 - Jardim Italia, Londrina - PR, 86079-180","PR6V+7V Jardim Italia, Londrina - PR",depositolondrinorte.com.br,(43) 3356-3353,,(232),Depósito LondriNorte,"4,8",,
81,,,"Rua Ruy Virmond Carnascialli, 744 - Jd Leonor, Londrina - PR, 86071-260","PR53+WG Santa Rita I, Londrina - PR",(43) 3328-0194,Reivindicar esta empresa,Adicionar website,(4),Depósito Locasa,"4,5",,
82,,,"Av. Saul Elkind, 4005 - Estados, Londrina - PR, 86082-000","PRQG+GC Estados, Londrina - PR",(43) 3327-9000,Adicionar website,,(54),Depósito Baratão,"4,6",,
83,,,"Av. Sylvio Barros, 17 A - Milton Gavetti, Londrina - PR, 86078-020","PR9W+73 Milton Gavetti, Londrina - PR",facebook.com,(43) 98857-0709,,(2),Art Forro Londrina,"5,0",,
84,,,"R. Edivaldo Ferreira de Lima, 50 - Jardim Tropical, Londrina - PR, 86001-970","PVF2+V9 Jardim Tropical, Londrina - PR",(43) 3334-1256,Reivindicar esta empresa,Adicionar website,(20),Depósito Tropical,"4,5",,
85,,,"R. Padre Anchieta, 123 - Vl Nova, Londrina - PR, 86025-590","PR4H+58 Jardim Tabapua, Londrina - PR",gmacatacado.com.br,(43) 3329-6307,,(26),GMAC Atacado da Construção - CD Londrina,"4,6",,
86,,,"R. Mato Grosso, 492 - Centro, Londrina - PR, 86010-180","MRPV+P9 Centro, Londrina - PR",(43) 3322-0083,Reivindicar esta empresa,Adicionar website,(17),Casa Paulo,"3,8",,
87,,,"Rod. Celso Garcia Cid, 3050 - Jardim Novo Bandeirantes, Londrina - PR, 86188-000","MQRH+QG Jardim Silvino, Cambé - PR",montten.com.br,(43) 3251-4242,,(118),Depósito Montten,"4,3",,
88,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
89,,,"A, Av. Tiradentes, 1130 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R6 Shangri-lá, Londrina - PR",espacosmart.com.br,(43) 3343-5050,Gerenciar esta ficha,(26),Espaço Smart,"4,2",,
90,,,"Av. Dez de Dezembro, 7670 - JARDIM IGAPO, Londrina - PR, 86046-140","JRRX+QH Inglaterra, Londrina - PR",romaniconstrucao.com.br,(43) 3341-5688,,(280),DEPÓSITO ROMANI,"4,5",,
91,,,"R. Edivaldo Ferreira de Lima, 440 - Jardim Tropical, Londrina - PR, 86087-646","PVG2+39 Jardim Tropical, Londrina - PR",construartpremoldados.com.br,(43) 3339-5579,,(27),Construart Pré-Moldados,"4,6",,
92,,,"R. Mitomu Simamura, 426 - N Amparo, Londrina - PR, 86043-030","JVM8+27 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3341-1174,Reivindicar esta empresa,Adicionar website,(12),Depósito Montimó,"4,8",,
93,,,"Jd - Av. Guilherme de Almeida, 3089 - Santa Joana, Londrina - PR, 86042-001","JVC9+87 Santa Joana - Quilometro Nove, Londrina - PR",facebook.com,(43) 3376-8200,Reivindicar esta empresa,(89),Depósito Sanderson II,"4,5",,
94,,"R. Quintino Bocaiúva - Centro, Londrina - PR, 86020-150","MRVM+64 Centro, Londrina - PR",(43) 3342-1755,Adicionar website,,,,IMPERCOM IMPERMEABILIZANTE,,,
95,,,"Av. Luigi Amorese, 7255w - Parque Industrial Cacique, Londrina - PR, 86071-020","PQ6R+87 Cilo III, Londrina - PR",(43) 3028-4422,Reivindicar esta empresa,Adicionar website,(4),Porto de Areia Londrina,"4,8",,
96,,,"Av. Café Rubiácea, 1736 - Res. do Café, Londrina - PR, 86081-280","PRQ8+2C Parigot De Souza, Londrina - PR",(43) 3338-7752,Adicionar website,,(32),Eletro Tubos,"4,5",,
97,,,"Av: Lucilio de Held, 1.175 Jd - Coliseu, Londrina - PR, 86076-110","PR87+R4 Coliseu, Londrina - PR",facebook.com,(43) 3348-5507,,(88),Depósito Santiago,"4,1",,
98,,,"R. das Limeiras, 270 - Marabá, Londrina - PR, 86035-630","MVWC+Q6 Marabá, Londrina - PR",(43) 3321-2736,Reivindicar esta empresa,Adicionar horário,(11),Naldo Materiais,"3,8",Adicionar website,
99,,"R. Guadalajara, 240 - Santa Rosa, Londrina - PR, 86050-100","MR8H+G4 Santa Rosa, Londrina - PR",niceatelie.com.br,(43) 3304-8555,Reivindicar esta empresa,Adicionar horário,,Nice,,,
100,,,"Av. Bandeirantes, 1021 - Vila Ipiranga, Londrina - PR, 86010-020","MRFV+79 Vila Ipiranga, Londrina - PR",(43) 3025-5955,Adicionar website,,(6),Artrofix Comércio de Materiais Cirúrgicos,"4,7",,
101,,,"R. Maurício Coelho Lima - Santa Rita 3, Londrina - PR, 86072-320","PR82+HR Santa Rita 3, Londrina - PR",(43) 3338-6504,Adicionar website,,(51),Depósito Leonor,"4,5",,
102,,,"Av. Brasília, 2815 - Parque Abc 2, Londrina - PR, 86025-180","PR5J+7Q Parque Abc 2, Londrina - PR",acoferlondrina.com.br,(43) 3329-3229,,(16),Açofer,"4,2",,
103,,"R. Rolândia - Aurora, Londrina - PR, 86060-430","MRRF+J8 Aurora, Londrina - PR",eletronor.com.br,Reivindicar esta empresa,Adicionar número de telefone,,,Eletronor Materiais Elétricos,,,
104,,,"R. Lindalva Silva Bassetto, 1385 - Jd Alto da Boa Vista, Londrina - PR, 86083-290","PRJH+V3 Alto da Boa Vista, Londrina - PR",(43) 3325-1600,Reivindicar esta empresa,Adicionar website,(1),Casa Boa Vista Materiais Elétricos Hidráulicos e Ferramentas,"5,0",,
105,,,"R. Bahia, 274 - Centro, Londrina - PR, 86026-020","MRVQ+WF Centro, Londrina - PR",diviplus.com.br,(43) 3025-5500,,(90),Diviplus Acabamentos,"4,5",,
106,,,"Av. Rio Branco, 380 - Jardim Agari, Londrina - PR, 86025-595","PR2G+HP Jardim Agari, Londrina - PR",alambrados-laser.negocio.site,(43) 3338-5563,,(2),ALAMBRADOS LASER,"5,0",,
107,,,"Av. Tiradentes, 155 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXF+4W Jardim Shangri-Lá A, Londrina - PR",kijanelas.com.br,Reivindicar esta empresa,Adicionar número de telefone,(1),Kijanelas Tudo em Portas e Janelas,"1,0",Adicionar horário,
108,,,"R. Pirapó, 234 - Vl Recreio, Londrina - PR, 86025-320","PR2Q+73 Vila Balarotti, Londrina - PR",(43) 3334-3807,Reivindicar esta empresa,Adicionar horário,(2),Art Jato-Jateamento em Vidro,"4,5",Adicionar website,
109,,,"377 Rodovia Celso Garcia Cid, AE / 01 - Gleba Fazenda Palhano, Londrina - PR, 86050-901",,"MR56+2X Gleba Fazenda Palhano, Londrina - PR",telhanorte.com.br,(43) 3878-5200,(989),Telhanorte Catuaí,"4,1",Gerenciar esta ficha,
110,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
111,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,,(2),Dickasa Ferragens e Construção,"5,0",,
112,,,"Av. Jamil Scaff, 2071 - Jardim Santa Alice, Londrina - PR, 86036-692","MVPJ+VJ Jardim Santa Alice, Londrina - PR",depositoromani.com.br,(43) 3321-9590,Gerenciar esta ficha,(6),Romani - Construção e Acabamentos,"5,0",,
113,,,"Av. Dez de Dezembro, 7104 - Ouro Branco, Londrina - PR, 86046-140","JVW2+27 Ouro Branco, Londrina - PR",housepisoseacabamentos.com.br,(43) 3341-6009,,(2),HOUSE Pisos Porcelanato e Acabamentos londrina construção,"4,5",,
114,,,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",sintecadoralondrina.com,(43) 3344-0912,,(2),Sintecadora Paulista,"4,5",,
115,,,"R. Quintino Bocaiúva, 1205 - Centro, Londrina - PR, 86020-150","MRWH+Q6 Centro, Londrina - PR",(43) 3357-1455,Adicionar website,,(2),Ditudo Material Eletrico & Hidraulicos,"5,0",,
116,,"R. Goiás, 610 - Centro, Londrina - PR, 86010-460","MRMV+W2 Centro, Londrina - PR",forteacessorios.com.br,(43) 3025-1449,Reivindicar esta empresa,,,Forte Acessórios Industriais - Filial Londrina,,,
