1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"R. Pref. Faria Lima, 1433 - Maringá, Londrina - PR, 86061-450","MRH6+C4 Maringá, Londrina - PR",pubdrtemtudo.wixsite.com,(43) 3347-6008,(197),Dr. Tem Tudo Casa e Construção,"4,5",,
,"R. Edivaldo Ferreira de Lima, 50 - Jardim Tropical, Londrina - PR, 86001-970","PVF2+V9 Jardim Tropical, Londrina - PR",(43) 3334-1256,Reivindicar esta empresa,(19),Depósito Tropical,"4,4",Adicionar website,
,"R. Tietê, 1750 - Jardim Tabapua, Londrina - PR, 86025-230","PR3H+XC Jardim Tabapua, Londrina - PR",depositolc.com.br,(43) 3334-1918,(184),Depósito LC,"4,6",,
,"Av. Robert Koch, 1385 - Jardim Vale do Cedro, Londrina - PR, 86037-010","MVCJ+GX Jardim Vale do Cedro, Londrina - PR",depositoromani.com.br,(43) 3339-9193,(176),Depósito Romani Construção e Acabamentos,"4,3",Gerenciar esta ficha,
,"Av. Chepli Tanus Daher, 105 - Jardim Acapulco, Londrina - PR, 86045-000","JRRV+4J Jardim Acapulco, Londrina - PR",(43) 3341-5455,Reivindicar esta empresa,(17),Depósito de Materiais de Construção Buba,"4,5",Adicionar horário,Adicionar website
,"Av. Nassim Jabur, 1009 - Paulista, Londrina - PR, 86079-050","PR4W+W9 Paulista, Londrina - PR",telhascipo.com.br,(43) 3336-4653,(17),TELHAS CIPÓ | TELHAS EM LONDRINA | MENOR PREÇO,"4,8",,
,"Av. Bento Amaral Monteiro - Cinco Conjuntos, Londrina - PR, 86084-830","QV32+FQ Cinco Conjuntos, Londrina - PR",(43) 3339-6725,Adicionar website,(17),Depósito Ipanema,"4,4",,
,"R. Mato Grosso, 492 - Centro, Londrina - PR, 86010-180","MRPV+P9 Centro, Londrina - PR",(43) 3322-0083,Reivindicar esta empresa,(17),Casa Paulo,"3,8",Adicionar website,
,"Av. Brasília, 2815 - Parque Abc 2, Londrina - PR, 86025-180","PR5J+7Q Parque Abc 2, Londrina - PR",acoferlondrina.com.br,(43) 3329-3229,(16),Açofer,"4,2",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
,"Av. Jorge Casoni, 2396 - Centro, Londrina - PR, 86026-110","MRPX+VC Centro, Londrina - PR",diprotec.com.br,(43) 3037-7222,(15),Diprotec - Distr. Produtos Técnicos para Construção Civil,"4,8",Gerenciar esta ficha,Adicionar horário
,"R. Araguaia, 995 - Vl Nova, Londrina - PR, 86025-720","PR2H+Q4 Jardim Tabapua, Londrina - PR",(43) 3325-3750,Reivindicar esta empresa,(15),Depósito Araguaia,"4,7",Adicionar horário,Adicionar website
,"Av. das Laranjeiras, 1590 - Marumbi, Londrina - PR, 86035-090","MVP7+QX Marumbi, Londrina - PR",facebook.com,(43) 3334-2014,(15),Depósito Construforte,"4,6",,
