,Nome,Avaliação,Endereço,Website,Rede Social
211,Craf Ziliz - Máquinas e Ferramentas,(38),"R. Manaus, 51 - Jardim Agari, Londrina - PR, 86020-560",(43) 3329-2120,
212,ROPEL MÁQUINAS E FERRAMENTAS,(235),"R. Guaporé, 363 - Vl Nova, Londrina - PR, 86026-010",(43) 3305-1500,
213,Desmanchão Da Construção,,"Rod. Celso Garcia Cid, Lote 90 - Gleba Fazenda Palhano, Londrina - PR",,
214,Z Casa & Cozinha,(19),"Av. São Paulo, 94 - Centro, Londrina - PR, 86010-060",(43) 3020-3737,
215,Inoxlon,(22),"Av. Maringá, 528 - Vitoria, Londrina - PR, 86060-000",(43) 3336-4478,
216,Mega Andaimes,(10),"R. Guaporé, 721 - Jardim Palmares, Londrina - PR, 86025-000",(43) 3029-3088,
217,Box Vidraçaria Araguaia,(34),"R. Araguaia, 815 - Agari, Londrina - PR, 86025-720",,
218,Revpostos,(33),"R. Bahia, 919 - Jardim Palmares, Londrina - PR, 86025-010",(43) 3337-5000,
219,Box Hbv - Fiel Vidros - Vidraçaria em Londrina,(32),"R. Piquiri, 90 - Vila Balarotti, Londrina - PR, 86025-340",(43) 3325-1171,
220,Solar Películas,(70),"R. Acre, 282 - Centro, Londrina - PR, 86010-190",(43) 3322-0132,
221,Comerine Ferro e Aço Motores e Redutores,(7),comerineferroeaco.com.br,,
222,HRR do Brasil Equipamentos Industriais,,hrrdobrasil.com.br,,
223,"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos",(3),"Av. Waldemar Spranger, 1235 - Tucano, Londrina - PR, 86047-300",(43) 3328-0010,
224,Casa do Sol - Aquecedores Solar em Londrina,(27),"R. Maria Tito da Mota Mendes, 90 - Jardim Imperio do Sol, Londrina - PR, 86073-790",(43) 3304-0125,
225,Ferro Velho República da Sucata,,(43) 3327-3434,,
226,Léo Portas,(6),"Av. São João, 3621 - Antares, Londrina - PR",,
227,Battistella & Portello,(93),"R. Belo Horizonte, 437 - Centro, Londrina - PR, 86020-060",(43) 3321-4040,
228,LONDRINA TINTAS Lojas de Tintas Texturas e Grafiatos em Londrina,(5),londrinatintas.com.br,Gerenciar esta ficha,
229,GRUPO BETEL,,"Av. Saul Elkind, 3095 - Jardim das Palmeiras, Londrina - PR, 73808-284",(43) 3348-2424,
230,Fibra Telhas,(4),"rod Mello Peixoto 3808 - ao Lado da Facchini, Cambé - PR, 86192-170",,
231,Deposito Piza,(24),"Av. Europa, 67 - Parque Res. Joao Piza, Londrina - PR, 86041-000",,
232,Acomac,(3),"R. Ana Neri, 300 - 307 - Jardim Caiçaras, Londrina - PR, 86015-610",(43) 3334-1885,
233,TK Acabamentos - Av. Tiradentes 600,(106),"Av. Tiradentes, 600 - Jardim Shangri-Lá A, Londrina - PR, 86070-545",(43) 3024-1500,
234,DIMATELAS Gradil Telas Alambrado Cercas de Segurança Telas em Londrina,(1),dimatelas.com.br,Reivindicar esta empresa,
235,Moto Táxi Quadra Sul,(2),"Av. Pres. Euríco Gáspar Dutra, 980 - Conj. Cafezal 1, Londrina - PR, 86049-000",Reivindicar esta empresa,
236,DEPOSITO AVENIDA,(20),"Av. Dr. Vacyr Gonçalves Pereira, N 1532 - CENTRO, Sertanópolis - PR, 86170-000",(43) 3232-1421,
237,Comercial Gerdau,(7),gerdau.com.br,Gerenciar esta ficha,
238,Casa do Construtor Cambé,(9),"R. Belo Horizonte, Nº 16 - Centro, Cambé - PR, 86181-020",(43) 3035-6969,
239,ICESI,(1),icesi.ueniweb.com,,
240,Telhanorte Maringá,(1.010),"Av. Colombo, 3361 - Parque Industrial Bandeirantes, Maringá - PR, 87030-120",(44) 3355-3700,
241,Votorantim Cimentos Brasil,(1),"Rua Cap Jacy Silva Pinheiros, 800 - Prq Indl Cacique, Londrina - PR, 86073-005",(43) 3348-2525,
242,Londrina Materiais de Construção,(1),"Av. Paranaguá, 3400, Matinhos - PR, 83260-000",,
